	All	All	DB	DB	KLost	KLost	NotDB	NotDB
	count	Perc	count	Perc	count	Perc	count	Perc
Category								
Total CREs	9829	100.0	1031	100.0	5163	100.0	3635	100.0
At least one CRX site	8545	86.94	968	93.89	4413	85.47	3164	87.03999999999999
Dimeric HD site only	258	2.62	71	6.890000000000001	132	2.56	55	1.51
Monomeric HD site only	7125	72.49	556	53.93	3846	74.49	2723	74.91
WT CRX site only	6820	69.39	493	47.82	3737	72.38	2590	71.25
K88N CRX site only	2572	26.169999999999998	311	30.159999999999997	1243	24.08	1018	28.01
Co-occurred WT CRX and dimeric HD sites	1017	10.35	253	24.54	413	8.0	351	9.66
Co-occurred K88N CRX and dimeric HD sites	589	5.99	261	25.319999999999997	140	2.71	188	5.17
Co-occurred WT and K88N CRX sites	2711	27.58	421	40.83	1252	24.25	1038	28.560000000000002
Co-occurred WT, K88N, and dimeric sites	444	4.52	173	16.78	118	2.29	153	4.21
Co-occurred WT CRX and NRL sites	4084	41.55	405	39.28	2142	41.49	1537	42.28
Co-occurred k88N CRX and NRL sites	1782	18.13	318	30.84	779	15.09	685	18.84
Co-occurred dimeric HD and NRL sites	680	6.92	203	19.689999999999998	264	5.11	213	5.86
NRL or AP1 sites	7021	71.43	793	76.92	3584	69.42	2644	72.74000000000001
NRL site only	2493	25.36	277	26.87	1313	25.430000000000003	903	24.84
AP1 site only	2062	20.979999999999997	225	21.82	1033	20.01	804	22.12
